ticket_external_id;score;reviewer;category;comment
KC-10001;5;client;Документы;Помогло с первого ответа.
KC-10002;5;qa;Скоринг;Чёткий ответ про rerun.
KC-10003;4;qa;Документы;OK но не упомянули DPI 200 явно.
KC-10004;5;client;Авторизация;Спасибо помогло.
KC-10005;3;qa;Решение;Не сослались на KI SC-441.
KC-10006;5;client;ДКП;Решилось за минуту.
KC-10007;4;qa;Графики;Решили без объяснения сути бага.
KC-10009;2;qa;Скоринг;Не объяснили клиенту tech_refuse — он переживал.
KC-10011;5;qa;Решение;Правильно указали изменение политики.
KC-10013;3;client;Графики;Совет «обновить iOS» неудобен.
KC-10014;4;qa;ДКП;Workaround сработал.
KC-10017;2;client;Решение;Долго ждали, обратной связи не было.
KC-10018;5;qa;Документы;Совет про HEIC отличный.
KC-10020;3;qa;ДКП;Можно было сразу проверить почту клиента.
KC-10021;5;qa;Документы;OK.
KC-10022;5;qa;Документы;Правильный совет про «Иной документ».
KC-10023;4;qa;Скоринг;Можно было дать пример справки сразу.
KC-10024;5;qa;Скоринг;Объяснили почему не отменять.
KC-10025;3;client;Решение;Эскалация была медленной.
KC-10026;5;qa;Авторизация;Force-sync — правильная подсказка.
KC-10027;4;qa;ДКП;Чёткий ответ про регенерацию.
KC-10028;5;client;Графики;Понятно про 30-й день.
KC-10029;3;qa;Документы;Можно было пример сразу прислать.
KC-10030;5;qa;Документы;Правильно про срок >30 дней.
KC-10031;4;qa;Скоринг;Объяснили доп.верификацию.
KC-10032;5;qa;Решение;Образцовая работа по 115-ФЗ.
KC-10033;4;qa;ДКП;Жёстко но по делу.
KC-10034;5;qa;Графики;Объяснили клиенту округление.
KC-10035;5;qa;Авторизация;Сброс TOTP — лучшее решение.
KC-10036;5;client;Документы;Не знал что есть «Повернуть».
KC-10037;4;qa;Скоринг;Можно было заранее предложить созаёмщика.
KC-10038;5;qa;Решение;Чёткая ссылка на блок «Запрошенные документы».
KC-10039;5;qa;ДКП;Объяснение 353-ФЗ — отлично.
KC-10040;4;qa;Графики;Правильно про продукт «Авто Премиум».
KC-10041;5;qa;Документы;Точный ответ про 30 дней.
KC-10042;5;qa;Авторизация;Объяснение VPN — корректное.
KC-10043;5;qa;Скоринг;Чёткое решение для пограничного случая.
KC-10044;5;qa;Документы;Без вопросов.
KC-10045;5;qa;Решение;Правильно про до подписания.
KC-10046;4;qa;ДКП;Иностранцы — нужен playbook.
KC-10047;5;client;Графики;Через ЛК — легко.
KC-10048;3;qa;Документы;OCR баг не закрыли пока.
KC-10049;5;qa;Скоринг;Хорошо объяснили баг отображения.
KC-10050;5;qa;Авторизация;HR заявка — стандарт.
KC-10051;5;qa;Решение;Норма SLA — корректное объяснение.
KC-10053;5;qa;Скоринг;Шаблон формулировки — то что нужно.
KC-10055;5;client;Графики;Понял что переплата идёт в основной долг.
KC-10059;5;qa;Решение;Точная оценка очереди.
KC-10060;3;qa;ДКП;Эскалация была долгой.
KC-10067;5;qa;Скоринг;Снял тревогу клиента про tech_refuse в истории.
KC-10070;4;qa;Графики;Preview macOS — частая проблема.
KC-10073;5;qa;Авторизация;Простой ответ про браузер.
KC-10078;5;qa;Графики;Кредитные каникулы — точно.
KC-10080;5;qa;ДКП;Допсоглашение — норма.
