external_id;channel;category;module;subject;description;author_role;status;created_at;closed_at;tags;comments_json
CB-30001;email;Расчётный счёт;Расчётный счёт;Не приходит выписка за день;Бухгалтер не получает ежедневную выписку на email;accountant;resolved;2026-04-02T08:00:00;2026-04-02T09:30:00;выписка|email;[{"author_role":"support_l2","content":"Адрес рассылки изменился? Проверьте в кабинете → Настройки → Уведомления → Выписки","created_at":"2026-04-02T09:00:00","is_internal":false}]
CB-30002;email;Договоры;Договоры;Не открывается ЭДО — ошибка при подписи;1С-Контур-ЭДО падает на подписи КЭП;accountant;resolved;2026-04-02T11:00:00;2026-04-02T14:00:00;кэп|эдо;[{"author_role":"support_l2","content":"Истёк сертификат КЭП. Обновить через УЦ либо удостоверяющий центр банка","created_at":"2026-04-02T13:30:00","is_internal":false}]
CB-30003;email;Зарплатный проект;Зарплатный проект;Не загружается реестр на выплату ЗП;Файл .xlsx не валидируется;accountant;resolved;2026-04-03T09:00:00;2026-04-03T11:00:00;зарплата|реестр;[{"author_role":"support_l1","content":"Скачайте свежий шаблон с пометкой v3.2 — формат поменялся 1 апреля","created_at":"2026-04-03T10:00:00","is_internal":false}]
CB-30004;phone;Налоги;Налоги;Не проходит платёжка УСН;Платёж висит «к подтверждению» >2 часов;accountant;resolved;2026-04-03T12:00:00;2026-04-03T15:00:00;усн|подтверждение;[{"author_role":"support_l2","content":"Превышен лимит подписи на день — нужна подпись второго лица","created_at":"2026-04-03T13:00:00","is_internal":false}]
CB-30005;email;Эквайринг;Эквайринг;Деньги не приходят на счёт от эквайринга;Сегодня нет зачислений с терминалов;accountant;resolved;2026-04-04T10:00:00;2026-04-04T17:00:00;эквайринг|зачисления;[{"author_role":"support_l2","content":"Подняли инцидент — провайдер задержал zachislenie. Деньги придут до 18:00","created_at":"2026-04-04T15:00:00","is_internal":false}]
CB-30006;email;Валютные операции;Валютные операции;Не могу провести валютный перевод — требует справку 138-И;Клиент-юрик перевод $50k;accountant;resolved;2026-04-04T14:00:00;2026-04-05T11:00:00;валюта|138-и;[{"author_role":"support_l2","content":"Сумма >$5k требует справку о подтверждающих документах. Шаблон в кабинете → Шаблоны → 138-И","created_at":"2026-04-05T10:00:00","is_internal":false}]
CB-30007;email;Расчётный счёт;Расчётный счёт;Не вижу контрагента в справочнике;Бухгалтер не находит ИНН партнёра при создании платёжки;accountant;resolved;2026-04-05T09:00:00;2026-04-05T09:30:00;контрагент;[{"author_role":"support_l1","content":"Создать контрагента вручную — кнопка «+ Новый» в шапке справочника","created_at":"2026-04-05T09:20:00","is_internal":false}]
CB-30008;email;Договоры;Договоры;ЭДО зависает на отправке счёта-фактуры;Контур-ЭДО показывает «отправляется» >30 мин;accountant;resolved;2026-04-05T11:00:00;2026-04-05T13:00:00;контур|зависание;[{"author_role":"support_l2","content":"Это инцидент Контура (статус.контур.ру). Восстановят к 13:00. Не перезапускайте — будут дубли","created_at":"2026-04-05T12:00:00","is_internal":false}]
CB-30009;email;Зарплатный проект;Зарплатный проект;ЗП не пришла на карту одного сотрудника;У 1 из 50 нет зачисления;hr;resolved;2026-04-06T09:00:00;2026-04-06T15:00:00;зачисление;[{"author_role":"support_l2","content":"Карта сотрудника заблокирована (старая). Нужно обновить реквизиты в HR и подать корректировочный реестр","created_at":"2026-04-06T14:00:00","is_internal":false}]
CB-30010;email;Налоги;Налоги;Платёжка не уходит — ошибка КБК;Бухгалтер сменил КБК, всё ещё ошибка;accountant;resolved;2026-04-06T13:00:00;2026-04-06T16:00:00;кбк;[{"author_role":"support_l2","content":"КБК поменялся с 1 апреля, нужен 18210101012021000110 для УСН-доходы","created_at":"2026-04-06T15:00:00","is_internal":false}]
CB-30011;email;Эквайринг;Эквайринг;Запрос chargeback от клиента — что делать;Покупатель оспаривает покупку 7 дней назад;accountant;resolved;2026-04-07T10:00:00;2026-04-08T11:00:00;chargeback;[{"author_role":"support_l2","content":"Подготовить документы: чек, видео с камеры если есть, переписку. Срок ответа 7 дней","created_at":"2026-04-08T10:30:00","is_internal":false}]
CB-30012;email;Расчётный счёт;Расчётный счёт;Двойное списание комиссии за обслуживание;Списали 3500 ₽ дважды;accountant;resolved;2026-04-07T14:00:00;2026-04-08T11:00:00;комиссия|двойное;[{"author_role":"support_l2","content":"Технический сбой 7.04, возврат до конца дня 8.04","created_at":"2026-04-08T10:00:00","is_internal":false}]
CB-30013;email;Валютные операции;Валютные операции;Курс при конвертации USD→RUB неверный;Бухгалтер ждал курс ЦБ + 0.5%, получил +2%;accountant;resolved;2026-04-08T09:00:00;2026-04-08T11:00:00;курс|конвертация;[{"author_role":"support_l2","content":"Курс для крупных конвертаций (>$10k) рассчитывается по биржевому курсу + спред 2%, не по ЦБ","created_at":"2026-04-08T10:30:00","is_internal":false}]
CB-30014;email;Договоры;Договоры;Не могу создать договор поставки в кабинете;Кнопка «Создать» серая;accountant;resolved;2026-04-08T13:00:00;2026-04-08T14:00:00;кабинет|кнопка;[{"author_role":"support_l1","content":"Для создания договоров нужна роль «Бухгалтер+» — попросите админа компании выдать","created_at":"2026-04-08T13:30:00","is_internal":false}]
CB-30015;email;Зарплатный проект;Зарплатный проект;Отчёт по ЗП за месяц — где скачать;Бухгалтер не находит сводный отчёт;accountant;resolved;2026-04-09T10:00:00;2026-04-09T10:30:00;отчёт;[{"author_role":"support_l1","content":"Зарплатные → Отчёты → «Сводный за период» → выбрать месяц → Скачать XLSX","created_at":"2026-04-09T10:20:00","is_internal":false}]
CB-30016;phone;Расчётный счёт;Расчётный счёт;Заблокирован счёт — что делать;Клиент-юрик получил уведомление о блокировке;accountant;resolved;2026-04-09T12:00:00;2026-04-09T16:00:00;блокировка|ка;[{"author_role":"support_l2","content":"Блокировка по 115-ФЗ. Нужно подать документы по запросу комплаенс в течение 7 дней","created_at":"2026-04-09T14:00:00","is_internal":false}]
CB-30017;email;Налоги;Налоги;Платёж в ПФР задвоился;Списало два раза одинаковую сумму;accountant;resolved;2026-04-10T09:00:00;2026-04-10T11:00:00;пфр|задвоение;[{"author_role":"support_l2","content":"Сбой 7.04 — возврат в течение суток","created_at":"2026-04-10T10:00:00","is_internal":false}]
CB-30018;email;Эквайринг;Эквайринг;Хочу подключить онлайн-эквайринг для интернет-магазина;Как подать заявку;accountant;resolved;2026-04-10T11:00:00;2026-04-10T11:30:00;онлайн|подключение;[{"author_role":"support_l1","content":"Заявка в кабинете → Эквайринг → Подключить онлайн → заполнить форму. Срок рассмотрения 3 рабочих дня","created_at":"2026-04-10T11:20:00","is_internal":false}]
CB-30019;email;Договоры;Договоры;ЭДО — не приходят документы от контрагента;Контрагент говорит что отправил счёт;accountant;resolved;2026-04-11T09:00:00;2026-04-11T10:00:00;эдо|входящие;[{"author_role":"support_l1","content":"Проверьте в Контур-ЭДО → Входящие → Все. Возможно, контрагент отправил через Диадок — это другой оператор","created_at":"2026-04-11T09:45:00","is_internal":false}]
CB-30020;email;Валютные операции;Валютные операции;Какие документы нужны для перевода >$10k;Бухгалтер готовит сделку;accountant;resolved;2026-04-11T14:00:00;2026-04-11T15:00:00;138-и|документы;[{"author_role":"support_l2","content":"Контракт, инвойс, справка 138-И, акт выполненных работ если за услуги. Шаблоны в Документы → Валютные","created_at":"2026-04-11T14:30:00","is_internal":false}]
