external_id;channel;category;module;subject;description;author_role;status;created_at;closed_at;tags;comments_json
IB-20001;chatbot;Карты;Карты;Не приходит CVV для виртуальной карты;Клиент выпустил виртуалку, push не пришёл;client;resolved;2026-04-02T09:00:00;2026-04-02T09:30:00;cvv|push;[{"author_role":"support_l1","content":"CVV видно в карточке карты по нажатию «Показать». Push приходит только если включены уведомления","created_at":"2026-04-02T09:15:00","is_internal":false}]
IB-20002;mobile;Переводы;Переводы;Перевод по СБП висит «в обработке» 30 минут;Клиент перевёл 5000 ₽, висит;client;resolved;2026-04-02T11:00:00;2026-04-02T13:00:00;sbp|зависание;[{"author_role":"support_l2","content":"Системный сбой на стороне СБП, деньги вернутся в течение 2 часов либо проведутся","created_at":"2026-04-02T11:30:00","is_internal":false}]
IB-20003;chatbot;Платежи;Платежи;Не проходит оплата ЖКХ;Платёж по QR падает с «попробуйте позже»;client;resolved;2026-04-02T14:00:00;2026-04-02T15:00:00;qr|жкх;[{"author_role":"support_l1","content":"Поставщик ЖКХ временно недоступен. Платежи через провайдер X восстановлены в 14:45","created_at":"2026-04-02T14:50:00","is_internal":false}]
IB-20004;mobile;Авторизация;Авторизация;Face ID перестал работать после обновления;Клиент обновил iOS, теперь вход только по PIN;client;resolved;2026-04-03T08:00:00;2026-04-03T08:30:00;biometric;[{"author_role":"support_l1","content":"После обновления iOS нужно один раз заново разрешить Face ID: Настройки → Приложения → Банк → Face ID","created_at":"2026-04-03T08:15:00","is_internal":false}]
IB-20005;phone;Кэшбек;Кэшбек;Не начислился кэшбек за покупку;Клиент купил на 5000 ₽ в категории «Рестораны»;client;resolved;2026-04-03T10:00:00;2026-04-03T18:00:00;cashback;[{"author_role":"support_l2","content":"Кэшбек начисляется до конца следующего рабочего дня. Если не пришёл — проверьте лимит категории (3000 ₽/мес)","created_at":"2026-04-03T16:00:00","is_internal":false}]
IB-20006;chatbot;Push-уведомления;Push-уведомления;Не приходят пуши о списаниях;Клиент жалуется что не видит транзакции;client;resolved;2026-04-03T12:00:00;2026-04-03T13:00:00;push|настройки;[{"author_role":"support_l1","content":"Проверьте: Настройки приложения → Уведомления → Все включены. И системные: Настройки iOS → Уведомления → Банк → Разрешить","created_at":"2026-04-03T12:30:00","is_internal":false}]
IB-20007;mobile;Карты;Карты;Заблокировал карту по ошибке как могу разблокировать;Клиент случайно нажал «Заблокировать»;client;resolved;2026-04-04T09:00:00;2026-04-04T09:15:00;блокировка;[{"author_role":"support_l1","content":"Если блокировка не «утеряна/украдена», можно разблокировать самостоятельно: Карты → выбрать → «Разблокировать»","created_at":"2026-04-04T09:10:00","is_internal":false}]
IB-20008;mobile;Переводы;Переводы;Не нахожу получателя в СБП по номеру;Номер телефона есть, но «получатель не зарегистрирован»;client;resolved;2026-04-04T11:00:00;2026-04-04T11:30:00;sbp|получатель;[{"author_role":"support_l1","content":"Получатель не подключил СБП в своём банке. Попросить получателя зайти в его приложение и согласиться на СБП-входящие","created_at":"2026-04-04T11:20:00","is_internal":false}]
IB-20009;chatbot;Авторизация;Авторизация;Забыл пароль не приходит SMS;Клиент пытается сбросить;client;resolved;2026-04-04T15:00:00;2026-04-04T15:45:00;sms|пароль;[{"author_role":"support_l1","content":"Проверьте, что не «Не беспокоить». SMS приходят с короткого номера 900","created_at":"2026-04-04T15:30:00","is_internal":false}]
IB-20010;mobile;Кэшбек;Кэшбек;Категории кэшбек не обновились на новый месяц;Клиент видит старые категории;client;resolved;2026-04-05T09:00:00;2026-04-05T09:15:00;cashback|категории;[{"author_role":"support_l1","content":"Категории обновляются 5 числа. Можно выбрать в разделе «Кэшбек → Категории на месяц»","created_at":"2026-04-05T09:10:00","is_internal":false}]
