ticket_external_id;score;reviewer;category;comment
CB-30001;5;client;Расчётный счёт;Быстро объяснили.
CB-30002;4;qa;Договоры;Можно было сразу предложить заявку на продление в банке.
CB-30003;5;qa;Зарплатный проект;Чёткий ответ про v3.2.
CB-30005;3;client;Эквайринг;Долго ждали зачисления.
CB-30006;4;qa;Валютные операции;Хорошо упомянули шаблон 138-И.
CB-30008;5;qa;Договоры;Правильно сделали — не перезапустили отправку.
CB-30009;3;qa;Зарплатный проект;Не упомянули про корректировочный реестр.
CB-30010;4;qa;Налоги;КБК верный, но без даты ввода.
CB-30013;5;qa;Валютные операции;Прозрачное объяснение про спред.
CB-30016;5;qa;Расчётный счёт;Аккуратно объяснили 115-ФЗ без паники.
