ticket_external_id;score;reviewer;category;comment
IB-20001;5;client;Карты;Быстро помогли.
IB-20002;4;qa;Переводы;Правильно сказали про 2 часа.
IB-20003;5;client;Платежи;Ок.
IB-20004;5;qa;Авторизация;Чёткая инструкция.
IB-20005;3;client;Кэшбек;Долго ждал ответ.
IB-20006;5;qa;Push-уведомления;Полностью покрыли проблему.
IB-20011;2;client;Платежи;Не вернули деньги быстро.
IB-20013;4;qa;Push-уведомления;Хороший совет про Battery Saver.
IB-20015;3;qa;Авторизация;Можно было предупредить про необходимость отделения.
IB-20020;5;qa;Авторизация;Чёткое сообщение про сбой ЕСИА.
