category;module;count_3m;avg_close_minutes;peak_day
Загрузка документов (PDF >10MB);Документы;842;47;2026-03-18
Откат скоринга / rerun;Скоринг;391;112;2026-04-02
Сброс пароля / 2FA;Авторизация;612;12;2026-02-25
Зависание решения УЗ;Решение;278;180;2026-04-01
Формирование ДКП;ДКП;201;65;2026-03-22
График платежей в ЛК;Графики;156;90;2026-03-10
Технический отказ (БКИ);Скоринг;143;55;2026-04-05
Подпись ДКП с iPad;ДКП;98;130;2026-03-20
Не открывается с мобильного;Графики;87;100;2026-02-12
HEIC с iPhone;Документы;72;25;2026-04-10
Объяснение отказа клиенту;Решение;238;30;2026-03-15
Кэш браузера и логин;Авторизация;201;15;2026-03-05
Изменение даты платежа;Графики;142;25;2026-02-20
OCR не распознал;Документы;312;55;2026-03-22
Иностранные клиенты;Документы;65;180;2026-03-30
Реструктуризация / каникулы;Графики;108;200;2026-04-08
Отказ от страховки (14 дней);Документы;201;45;2026-03-25
Досрочное погашение;Графики;432;15;2026-03-12
Добавление созаёмщика;Скоринг;87;75;2026-03-18
Просроченные документы клиента;Документы;156;30;2026-03-28
