external_id,created_at,status,subject,description,closed_at,channel,category,module,priority,author_role,assignee,tags,conversation
SM-1000,2026-04-08T22:39:46,resolved,Дубль документа в карточке,В карточке заявки КЗ-36687537 два одинаковых PDF выписки.,2026-04-09T12:39:46,email,Документы,Документы,normal,support_l1,L2_dev,дубль,"[{""author_role"": ""external_user"", ""content"": ""В карточке заявки КЗ-36687537 два одинаковых PDF выписки."", ""created_at"": ""2026-04-08T22:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Принято в работу. Попробуйте обновить страницу и повторить операцию."", ""created_at"": ""2026-04-08T23:41:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Удалили дубль через админку."", ""created_at"": ""2026-04-09T01:02:46"", ""is_internal"": false}, {""author_role"": ""external_user"", ""content"": ""Подтвердили клиенту через email алексей239@mail.ru."", ""created_at"": ""2026-04-09T04:39:46"", ""is_internal"": false}]"
SM-1001,2026-02-06T18:39:46,resolved,Дубль документа в карточке,В карточке заявки КЗ-93016315 два одинаковых PDF выписки.,2026-02-08T16:39:46,chatbot,Документы,Документы,,operator,support_l1,дубль,"[{""author_role"": ""external_user"", ""content"": ""В карточке заявки КЗ-93016315 два одинаковых PDF выписки."", ""created_at"": ""2026-02-06T18:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Здравствуйте! Подскажите, пожалуйста, текст ошибки и шаги воспроизведения."", ""created_at"": ""2026-02-06T18:52:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Удалили дубль через админку."", ""created_at"": ""2026-02-06T21:51:46"", ""is_internal"": false}, {""author_role"": ""external_user"", ""content"": ""Подтвердили клиенту через email мария566@yandex.ru."", ""created_at"": ""2026-02-06T22:59:46"", ""is_internal"": false}]"
SM-1002,2026-02-13T15:39:46,resolved,Интеграция с ФНС падает,Сервис проверки ИНН возвращает 500.,2026-02-15T02:39:46,sm,Интеграции,Интеграции,normal,external_user,L2_dev,"фнс,интеграции",
SM-1003,2026-03-08T17:39:46,closed,Не отправляется уведомление по СМС,Клиент не получил СМС об одобрении заявки APP-16323852.,2026-03-10T01:39:46,sm,Интеграции,Интеграции,critical,external_user,L2_dev,"смс,уведомления","[{""author_role"": ""external_user"", ""content"": ""Клиент не получил СМС об одобрении заявки APP-16323852."", ""created_at"": ""2026-03-08T17:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Принято в работу. Попробуйте обновить страницу и повторить операцию."", ""created_at"": ""2026-03-08T18:38:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Проверили — провайдер вернул rejected (битый номер)."", ""created_at"": ""2026-03-08T19:04:46"", ""is_internal"": false}, {""author_role"": ""external_user"", ""content"": ""Попросили клиента подтвердить номер +7 (800) 697-61-56."", ""created_at"": ""2026-03-08T20:52:46"", ""is_internal"": false}]"
SM-1004,2026-04-15T00:39:46,in_progress,Договор не подписывается,"Кнопка подписать не реагирует, в консоли ошибка X-Frame.",,chatbot,Подписание,Подписание,,external_user,,подписание,
SM-1005,2025-12-30T21:39:46,closed,Сканированный документ не распознаётся,При загрузке сканированной справки 2-НДФЛ ошибка «нет OCR».,2026-01-01T15:39:46,phone,Документы,Документы,normal,external_user,support_l2,"ocr,сканер","[{""author_role"": ""external_user"", ""content"": ""При загрузке сканированной справки 2-НДФЛ ошибка «нет OCR»."", ""created_at"": ""2025-12-30T21:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Здравствуйте! Подскажите, пожалуйста, текст ошибки и шаги воспроизведения."", ""created_at"": ""2025-12-30T22:54:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Объяснили, что нужен PDF с текстовым слоем."", ""created_at"": ""2025-12-31T00:11:46"", ""is_internal"": false}, {""author_role"": ""external_user"", ""content"": ""Передали клиенту ссылку на онлайн-OCR."", ""created_at"": ""2025-12-31T02:36:46"", ""is_internal"": false}]"
SM-1006,2026-01-22T05:39:46,closed,Скоринг возвращает другой балл,Один и тот же клиент даёт разный балл при пересчёте.,2026-01-24T15:39:46,messenger,Скоринг,Скоринг,critical,operator,infrastructure,баг,"[{""author_role"": ""external_user"", ""content"": ""Один и тот же клиент даёт разный балл при пересчёте."", ""created_at"": ""2026-01-22T05:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Спасибо за обращение. Уточните, в каком браузере возникла ошибка?"", ""created_at"": ""2026-01-22T05:48:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Воспроизвели — проблема в кэше БКИ."", ""created_at"": ""2026-01-22T06:16:46"", ""is_internal"": false}, {""author_role"": ""external_user"", ""content"": ""Завели задачу на 2-ю линию."", ""created_at"": ""2026-01-22T08:37:46"", ""is_internal"": false}]"
SM-1007,2026-01-13T08:39:46,resolved,Сертификат подписи просрочен,"При попытке подписи сертификат не принимается, дата истекла.",2026-01-14T09:39:46,sm,Подписание,Подписание,critical,operator,support_l1,сертификат,"[{""author_role"": ""external_user"", ""content"": ""При попытке подписи сертификат не принимается, дата истекла."", ""created_at"": ""2026-01-13T08:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Спасибо за обращение. Уточните, в каком браузере возникла ошибка?"", ""created_at"": ""2026-01-13T09:52:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Объяснили клиенту, что нужен новый сертификат через УЦ."", ""created_at"": ""2026-01-13T10:37:46"", ""is_internal"": false}]"
SM-1008,2025-12-27T21:39:46,resolved,Договор не подписывается,"Кнопка подписать не реагирует, в консоли ошибка X-Frame.",2025-12-28T09:39:46,sm,Подписание,Подписание,high,operator,support_l1,подписание,"[{""author_role"": ""external_user"", ""content"": ""Кнопка подписать не реагирует, в консоли ошибка X-Frame."", ""created_at"": ""2025-12-27T21:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Принято в работу. Попробуйте обновить страницу и повторить операцию."", ""created_at"": ""2025-12-27T22:55:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""В браузере был блокировщик iframe — отключили — помогло."", ""created_at"": ""2025-12-28T02:08:46"", ""is_internal"": false}]"
SM-1009,2026-05-02T03:39:46,resolved,Не отправляется уведомление по СМС,Клиент не получил СМС об одобрении заявки ЗПК-26090908.,2026-05-04T17:39:46,other,Интеграции,Интеграции,high,manager,support_l2,"смс,уведомления","[{""author_role"": ""external_user"", ""content"": ""Клиент не получил СМС об одобрении заявки ЗПК-26090908."", ""created_at"": ""2026-05-02T03:39:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Принято в работу. Попробуйте обновить страницу и повторить операцию."", ""created_at"": ""2026-05-02T03:49:46"", ""is_internal"": false}, {""author_role"": ""support_l1"", ""content"": ""Проверили — провайдер вернул rejected (битый номер)."", ""created_at"": ""2026-05-02T04:19:46"", ""is_internal"": false}, {""author_role"": ""external_user"", ""content"": ""Попросили клиента подтвердить номер +7 (495) 971-33-18."", ""created_at"": ""2026-05-02T06:16:46"", ""is_internal"": false}]"
