external_id;channel;category;module;subject;description;author_role;status;created_at;closed_at;tags;comments_json
KC-10001;email;Документы;Документы;Не загружается скан паспорта;Андеррайтер: при загрузке PDF >10 МБ страница падает с 500;underwriter;resolved;2026-04-02T10:30:00;2026-04-02T13:00:00;загрузка|pdf;[{"author_role":"support_l1","content":"Ограничение 10 МБ, попросите сжать PDF до 5 МБ","created_at":"2026-04-02T11:00:00","is_internal":false},{"author_role":"underwriter","content":"Сжали — загрузилось","created_at":"2026-04-02T12:50:00","is_internal":false}]
KC-10002;email;Скоринг;Скоринг;Откат скоринга после смены ПД;Клиент сменил доход — нужно пересчитать;manager;resolved;2026-04-02T11:00:00;2026-04-02T14:10:00;rerun;[{"author_role":"support_l2","content":"Запустите rerun через админку → Заявки → Действия → Пересчитать","created_at":"2026-04-02T12:00:00","is_internal":false}]
KC-10003;sm;Документы;Документы;Сканы паспорта не распознаются OCR;Поля «дата рождения», «серия» — пусто;underwriter;resolved;2026-04-03T09:15:00;2026-04-03T15:20:00;ocr|паспорт;[{"author_role":"support_l1","content":"Проверьте, что скан не повёрнут и DPI ≥200","created_at":"2026-04-03T10:00:00","is_internal":false},{"author_role":"underwriter","content":"Был повёрнут, после переснимки прошло","created_at":"2026-04-03T14:50:00","is_internal":false}]
KC-10004;email;Авторизация;Авторизация;Не приходит SMS 2FA;Менеджер не может войти, ждёт код 5 минут;manager;resolved;2026-04-03T10:00:00;2026-04-03T10:45:00;sms|2fa;[{"author_role":"support_l1","content":"Проверьте, что номер +7 без 8, и что не в спам","created_at":"2026-04-03T10:20:00","is_internal":false}]
KC-10005;messenger;Решение;Решение;Заявка зависла в статусе «На решении»;Прошло 2 часа, ответа нет;manager;resolved;2026-04-03T11:30:00;2026-04-03T13:00:00;статус;[{"author_role":"support_l2","content":"Это known-issue SC-441, обходной путь — кнопка «Обновить статус»","created_at":"2026-04-03T11:50:00","is_internal":false}]
KC-10006;email;ДКП;ДКП;Не печатается ДКП — пустой PDF;Договор кредита-продажи не формируется;manager;resolved;2026-04-04T09:00:00;2026-04-04T11:30:00;дкп|печать;[{"author_role":"support_l1","content":"Очистите кэш браузера + Chrome 110+","created_at":"2026-04-04T10:00:00","is_internal":false}]
KC-10007;sm;Графики;Графики;Неверный график платежей в ЛК клиента;Клиент видит не ту сумму платежа;client;resolved;2026-04-04T14:00:00;2026-04-04T18:00:00;график|расчёт;[{"author_role":"support_l2","content":"Был баг в расчёте при досрочном погашении в первый месяц","created_at":"2026-04-04T17:30:00","is_internal":false}]
KC-10008;email;Документы;Документы;Загрузка СНИЛС не работает;Поле «СНИЛС» пустое после загрузки фото;underwriter;resolved;2026-04-05T10:00:00;2026-04-05T11:00:00;снилс|загрузка;[{"author_role":"support_l1","content":"Используйте «Загрузить документ» → выбрать тип СНИЛС","created_at":"2026-04-05T10:30:00","is_internal":false}]
KC-10009;email;Скоринг;Скоринг;Скоринг отдаёт «технический отказ»;Заявка от хорошего клиента, не понимаем причину;manager;resolved;2026-04-05T12:00:00;2026-04-05T16:00:00;технический отказ;[{"author_role":"support_l2","content":"tech_refuse = недоступность БКИ. Перезапустите заявку через 10 минут","created_at":"2026-04-05T13:00:00","is_internal":false}]
KC-10010;phone;Авторизация;Авторизация;Сброс пароля не приходит на почту;Менеджер хочет сбросить пароль;manager;resolved;2026-04-05T15:00:00;2026-04-05T15:30:00;пароль;[{"author_role":"support_l1","content":"Проверьте «Спам». Если нет — обратитесь к админу через IAM","created_at":"2026-04-05T15:20:00","is_internal":false}]
